"Finalmethynames","Finalmethy1names","Finalgenenames","Finalsimilarityvalues"
"107","PI3","EGFR","PI3.EGFR",0.255729159913101
"108","PI3","DAB2","PI3.DAB2",0.255729159913101
"109","PI3","ZMYND10","PI3.ZMYND10",0.255729159913101
"110","PI3","LCN2","PI3.LCN2",0.255729159913101
"111","PI3","BCL2A1","PI3.BCL2A1",0.255729159913101
"112","PI3","COL6A1","PI3.COL6A1",0.255729159913101
"113","PI3","EPHB1","PI3.EPHB1",0.255729159913101
"114","PI3","ELK3","PI3.ELK3",0.255729159913101
"115","PI3","TNFRSF1A","PI3.TNFRSF1A",0.255729159913101
"116","PI3","EPHB4","PI3.EPHB4",0.255729159913101
"117","PI3","NOS3","PI3.NOS3",0.255729159913101
"118","PI3","PXN","PI3.PXN",0.255729159913101
"119","PI3","DST","PI3.DST",0.255729159913101
"120","PI3","FGFR2","PI3.FGFR2",0.255729159913101
"121","PI3","TGFB1","PI3.TGFB1",0.255729159913101
"122","PI3","FER","PI3.FER",0.255729159913101
"123","PI3","MMP1","PI3.MMP1",0.255729159913101
"124","PI3","GRPR","PI3.GRPR",0.255729159913101
"125","PI3","MME","PI3.MME",0.255729159913101
"126","PI3","PTGS1","PI3.PTGS1",0.255729159913101
"127","PI3","PTPN6","PI3.PTPN6",0.255729159913101
"128","PI3","CDC25B","PI3.CDC25B",0.255729159913101
"129","PI3","PPARG","PI3.PPARG",0.255729159913101
"130","PI3","GABRA5","PI3.GABRA5",0.255729159913101
"131","PI3","RAD50","PI3.RAD50",0.255729159913101
"132","PI3","ACVR1B","PI3.ACVR1B",0.255729159913101
"133","PI3","SHH","PI3.SHH",0.255729159913101
"134","PI3","PLXDC2","PI3.PLXDC2",0.255729159913101
"135","PI3","DDR1","PI3.DDR1",0.255729159913101
"136","PI3","MYB","PI3.MYB",0.255729159913101
"137","PI3","MLLT6","PI3.MLLT6",0.255729159913101
"138","PI3","TNFRSF10B","PI3.TNFRSF10B",0.255729159913101
"139","PI3","ETS1","PI3.ETS1",0.255729159913101
"140","PI3","SMARCB1","PI3.SMARCB1",0.255729159913101
"141","PI3","DSC2","PI3.DSC2",0.255729159913101
"142","PI3","LRP2","PI3.LRP2",0.255729159913101
"143","PI3","IL2","PI3.IL2",0.255729159913101
"144","PI3","FABP3","PI3.FABP3",0.255729159913101
"145","PI3","TYRO3","PI3.TYRO3",0.255729159913101
"146","PI3","KIAA0125","PI3.KIAA0125",0.255729159913101
"147","PI3","APP","PI3.APP",0.255729159913101
"148","PI3","X5.Sep","PI3.X5.Sep",0.255729159913101
"149","PI3","EPHA7","PI3.EPHA7",0.255729159913101
"150","PI3","RAP1A","PI3.RAP1A",0.255729159913101
"151","PI3","SKI","PI3.SKI",0.255729159913101
"152","PI3","ICAM1","PI3.ICAM1",0.255729159913101
"153","PI3","CLDN4","PI3.CLDN4",0.255729159913101
"154","PI3","CASP2","PI3.CASP2",0.255729159913101
"155","PI3","LMTK2","PI3.LMTK2",0.255729159913101
"156","PI3","HLA.DOA","PI3.HLA.DOA",0.255729159913101
"157","PI3","NOTCH1","PI3.NOTCH1",0.255729159913101
"158","PI3","PDGFA","PI3.PDGFA",0.255729159913101
"159","PI3","ITGA6","PI3.ITGA6",0.255729159913101
"160","PI3","EPHA1","PI3.EPHA1",0.255729159913101
"161","PI3","GAS1","PI3.GAS1",0.255729159913101
"162","PI3","CLK1","PI3.CLK1",0.255729159913101
"163","PI3","MAP3K8","PI3.MAP3K8",0.255729159913101
"164","PI3","WNT2B","PI3.WNT2B",0.255729159913101
"165","PI3","EPS8","PI3.EPS8",0.255729159913101
"166","PI3","WNT8B","PI3.WNT8B",0.255729159913101
"167","PI3","CTGF","PI3.CTGF",0.255729159913101
"168","PI3","LMO1","PI3.LMO1",0.255729159913101
"169","PI3","P2RX7","PI3.P2RX7",0.255729159913101
"170","PI3","MBD2","PI3.MBD2",0.255729159913101
"171","PI3","CTTN","PI3.CTTN",0.255729159913101
"172","PI3","TM7SF3","PI3.TM7SF3",0.255729159913101
"173","PI3","ELL","PI3.ELL",0.255729159913101
"174","PI3","SMARCA4","PI3.SMARCA4",0.255729159913101
"175","PI3","NEFL","PI3.NEFL",0.255729159913101
"176","PI3","DNMT3B","PI3.DNMT3B",0.255729159913101
"177","PI3","MAP3K9","PI3.MAP3K9",0.255729159913101
"178","PI3","PLAUR","PI3.PLAUR",0.255729159913101
"179","PI3","WEE1","PI3.WEE1",0.255729159913101
"180","PI3","VIM","PI3.VIM",0.255729159913101
"181","PI3","FGFR3","PI3.FGFR3",0.255729159913101
"182","PI3","CTNNA1","PI3.CTNNA1",0.255729159913101
"183","PI3","SFTPC","PI3.SFTPC",0.255729159913101
"184","PI3","CDK6","PI3.CDK6",0.255729159913101
"185","PI3","MMP8","PI3.MMP8",0.255729159913101
"186","PI3","MLH3","PI3.MLH3",0.255729159913101
"187","PI3","SEMA3A","PI3.SEMA3A",0.255729159913101
"188","PI3","BCL3","PI3.BCL3",0.255729159913101
"189","PI3","CYP1B1","PI3.CYP1B1",0.255729159913101
"190","PI3","BAX","PI3.BAX",0.255729159913101
"191","PI3","NFKB1","PI3.NFKB1",0.255729159913101
"192","PI3","CD81","PI3.CD81",0.255729159913101
"193","PI3","CRIP1","PI3.CRIP1",0.255729159913101
"194","PI3","CAV2","PI3.CAV2",0.255729159913101
"195","PI3","ETS2","PI3.ETS2",0.255729159913101
"196","MPO","STAT5A","MPO.STAT5A",0.255729159913101
"197","MPO","ITK","MPO.ITK",0.255729159913101
"198","MPO","PRSS1","MPO.PRSS1",0.255729159913101
"199","MPO","CD2","MPO.CD2",0.255729159913101
"200","MPO","WNT2","MPO.WNT2",0.255729159913101
"201","MPO","NOTCH3","MPO.NOTCH3",0.255729159913101
"202","MPO","EPHA5","MPO.EPHA5",0.255729159913101
"203","MPO","PRSS8","MPO.PRSS8",0.255729159913101
"204","MPO","FZD9","MPO.FZD9",0.255729159913101
"205","MPO","PLA2G2A","MPO.PLA2G2A",0.255729159913101
"206","MPO","TJP2","MPO.TJP2",0.255729159913101
"207","MPO","DIO3","MPO.DIO3",0.255729159913101
"208","MPO","SOX1","MPO.SOX1",0.255729159913101
"209","MPO","COL18A1","MPO.COL18A1",0.255729159913101
"210","MPO","DES","MPO.DES",0.255729159913101
"211","MPO","SOD3","MPO.SOD3",0.255729159913101
"212","MPO","IGF1","MPO.IGF1",0.255729159913101
"213","MPO","GDF10","MPO.GDF10",0.255729159913101
"214","MPO","FES","MPO.FES",0.255729159913101
"215","MPO","THPO","MPO.THPO",0.255729159913101
"216","MPO","LTA","MPO.LTA",0.255729159913101
"217","MPO","EGR4","MPO.EGR4",0.255729159913101
"218","MPO","CAPG","MPO.CAPG",0.255729159913101
"219","MPO","NCL","MPO.NCL",0.255729159913101
"220","MPO","MMP3","MPO.MMP3",0.255729159913101
"221","MPO","GAS7","MPO.GAS7",0.255729159913101
"222","MPO","HOXB2","MPO.HOXB2",0.255729159913101
"223","MPO","MMP2","MPO.MMP2",0.255729159913101
"224","MPO","DCN","MPO.DCN",0.255729159913101
"225","MPO","CFTR","MPO.CFTR",0.255729159913101
"226","MPO","NPR2","MPO.NPR2",0.255729159913101
"227","MPO","KDR","MPO.KDR",0.255729159913101
"228","MPO","CSF1R","MPO.CSF1R",0.255729159913101
"229","MPO","CCKAR","MPO.CCKAR",0.255729159913101
"230","MPO","TIAM1","MPO.TIAM1",0.255729159913101
"231","MPO","ASCL1","MPO.ASCL1",0.255729159913101
"232","MPO","OGG1","MPO.OGG1",0.255729159913101
"233","MPO","LYN","MPO.LYN",0.255729159913101
"234","MPO","S100A2","MPO.S100A2",0.255729159913101
"235","MPO","TNFRSF1B","MPO.TNFRSF1B",0.255729159913101
"236","MPO","IFNG","MPO.IFNG",0.255729159913101
"237","MPO","B3GALT5","MPO.B3GALT5",0.255729159913101
"238","MPO","MMP19","MPO.MMP19",0.255729159913101
"239","MPO","ALK","MPO.ALK",0.255729159913101
"240","MPO","DBC1","MPO.DBC1",0.255729159913101
"241","MPO","SPDEF","MPO.SPDEF",0.255729159913101
"242","MPO","HBEGF","MPO.HBEGF",0.255729159913101
"243","MPO","EPHA8","MPO.EPHA8",0.255729159913101
"244","MPO","MECP2","MPO.MECP2",0.255729159913101
"245","MPO","SFTPB","MPO.SFTPB",0.255729159913101
"246","MPO","MMP9","MPO.MMP9",0.255729159913101
"247","MPO","HLA.DPB1","MPO.HLA.DPB1",0.255729159913101
"248","MPO","IRAK1","MPO.IRAK1",0.255729159913101
"249","MPO","TRPM5","MPO.TRPM5",0.255729159913101
"250","MPO","CTLA4","MPO.CTLA4",0.255729159913101
"251","MPO","HLA.DQA2","MPO.HLA.DQA2",0.255729159913101
"252","MPO","HLF","MPO.HLF",0.255729159913101
"253","MPO","HCK","MPO.HCK",0.255729159913101
"254","MPO","RIPK4","MPO.RIPK4",0.255729159913101
"255","MPO","MT1A","MPO.MT1A",0.255729159913101
"256","MPO","LMO2","MPO.LMO2",0.255729159913101
"257","MPO","TGFBI","MPO.TGFBI",0.255729159913101
"258","MPO","ALPL","MPO.ALPL",0.255729159913101
"259","MPO","MAS1","MPO.MAS1",0.255729159913101
"260","MPO","CCKBR","MPO.CCKBR",0.255729159913101
"261","MPO","ABO","MPO.ABO",0.255729159913101
"262","MPO","KRT13","MPO.KRT13",0.255729159913101
"263","MPO","HDAC9","MPO.HDAC9",0.255729159913101
