"Finalmethynames","Finalmethy1names","Finalgenenames","Finalsimilarityvalues"
"118","PENK","SEMA3B","PENK.SEMA3B",1
"119","PENK","TNFRSF10C","PENK.TNFRSF10C",1
"120","PENK","CPA4","PENK.CPA4",1
"121","PENK","LAT","PENK.LAT",1
"122","PENK","ASCL2","PENK.ASCL2",1
"123","PENK","ITK","PENK.ITK",1
"124","PENK","HLA.DRA","PENK.HLA.DRA",1
"125","PENK","IFNGR2","PENK.IFNGR2",1
"126","PENK","PRSS1","PENK.PRSS1",1
"127","PENK","NPY","PENK.NPY",1
"128","PENK","ESR1","PENK.ESR1",1
"129","PENK","TP73","PENK.TP73",1
"130","PENK","ISL1","PENK.ISL1",1
"131","PENK","ATP10A","PENK.ATP10A",1
"132","PENK","SNRPN","PENK.SNRPN",1
"133","PENK","LIF","PENK.LIF",1
"134","PENK","VAMP8","PENK.VAMP8",1
"135","PENK","FLT4","PENK.FLT4",1
"136","PENK","WT1","PENK.WT1",1
"137","PENK","PLA2G2A","PENK.PLA2G2A",1
"138","PENK","EDNRB","PENK.EDNRB",1
"139","PENK","HSPA2","PENK.HSPA2",1
"140","PENK","RIPK3","PENK.RIPK3",1
"141","PENK","GFI1","PENK.GFI1",1
"142","PENK","KRAS","PENK.KRAS",1
"143","MAPK4","HBEGF","MAPK4.HBEGF",0.0909044337641449
"144","MAPK4","MMP10","MAPK4.MMP10",0.078166829392604
"145","DNAJC15","GFAP","DNAJC15.GFAP",0.515872175870269
"146","DNAJC15","CCNA1","DNAJC15.CCNA1",0.092268488943456
"147","PADI4","CD9","PADI4.CD9",1
"148","PADI4","EPO","PADI4.EPO",1
"149","PADI4","STAT5A","PADI4.STAT5A",1
"150","PADI4","ONECUT2","PADI4.ONECUT2",1
"151","PADI4","PRKCDBP","PADI4.PRKCDBP",1
"152","PADI4","TWIST1","PADI4.TWIST1",1
"153","PADI4","EMR3","PADI4.EMR3",1
"154","PADI4","SEMA3B","PADI4.SEMA3B",1
"155","PADI4","TNFRSF10C","PADI4.TNFRSF10C",1
"156","PADI4","CPA4","PADI4.CPA4",1
"157","PADI4","LAT","PADI4.LAT",1
"158","PADI4","ASCL2","PADI4.ASCL2",1
"159","PADI4","ITK","PADI4.ITK",1
"160","PADI4","HLA.DRA","PADI4.HLA.DRA",1
"161","PADI4","IFNGR2","PADI4.IFNGR2",1
"162","PADI4","PRSS1","PADI4.PRSS1",1
"163","PADI4","NPY","PADI4.NPY",1
"164","PADI4","ESR1","PADI4.ESR1",1
"165","PADI4","TP73","PADI4.TP73",1
"166","PADI4","ISL1","PADI4.ISL1",1
"167","PADI4","ATP10A","PADI4.ATP10A",1
"168","PADI4","SNRPN","PADI4.SNRPN",1
"169","PADI4","LIF","PADI4.LIF",1
"170","PADI4","VAMP8","PADI4.VAMP8",1
"171","PADI4","FLT4","PADI4.FLT4",1
"172","PADI4","WT1","PADI4.WT1",1
"173","PADI4","PLA2G2A","PADI4.PLA2G2A",1
"174","PADI4","EDNRB","PADI4.EDNRB",1
"175","PADI4","HSPA2","PADI4.HSPA2",1
"176","PADI4","RIPK3","PADI4.RIPK3",1
"177","PADI4","GFI1","PADI4.GFI1",1
"178","PADI4","KRAS","PADI4.KRAS",1
"179","CD9","EPO","CD9.EPO",1
"180","CD9","STAT5A","CD9.STAT5A",1
"181","CD9","ONECUT2","CD9.ONECUT2",1
"182","CD9","PRKCDBP","CD9.PRKCDBP",1
"183","CD9","TWIST1","CD9.TWIST1",1
"184","CD9","EMR3","CD9.EMR3",1
"185","CD9","SEMA3B","CD9.SEMA3B",1
"186","CD9","TNFRSF10C","CD9.TNFRSF10C",1
"187","CD9","CPA4","CD9.CPA4",1
"188","CD9","LAT","CD9.LAT",1
"189","CD9","ASCL2","CD9.ASCL2",1
"190","CD9","ITK","CD9.ITK",1
"191","CD9","HLA.DRA","CD9.HLA.DRA",1
"192","CD9","IFNGR2","CD9.IFNGR2",1
"193","CD9","PRSS1","CD9.PRSS1",1
"194","CD9","NPY","CD9.NPY",1
"195","CD9","ESR1","CD9.ESR1",1
"196","CD9","TP73","CD9.TP73",1
"197","CD9","ISL1","CD9.ISL1",1
"198","CD9","ATP10A","CD9.ATP10A",1
"199","CD9","SNRPN","CD9.SNRPN",1
"200","CD9","LIF","CD9.LIF",1
"201","CD9","VAMP8","CD9.VAMP8",1
"202","CD9","FLT4","CD9.FLT4",1
"203","CD9","WT1","CD9.WT1",1
"204","CD9","PLA2G2A","CD9.PLA2G2A",1
"205","CD9","EDNRB","CD9.EDNRB",1
"206","CD9","HSPA2","CD9.HSPA2",1
"207","CD9","RIPK3","CD9.RIPK3",1
"208","CD9","GFI1","CD9.GFI1",1
"209","CD9","KRAS","CD9.KRAS",1
"210","GFAP","CCNA1","GFAP.CCNA1",0.15921534981315
"211","EPO","STAT5A","EPO.STAT5A",1
"212","EPO","ONECUT2","EPO.ONECUT2",1
"213","EPO","PRKCDBP","EPO.PRKCDBP",1
"214","EPO","TWIST1","EPO.TWIST1",1
"215","EPO","EMR3","EPO.EMR3",1
"216","EPO","SEMA3B","EPO.SEMA3B",1
"217","EPO","TNFRSF10C","EPO.TNFRSF10C",1
"218","EPO","CPA4","EPO.CPA4",1
"219","EPO","LAT","EPO.LAT",1
"220","EPO","ASCL2","EPO.ASCL2",1
"221","EPO","ITK","EPO.ITK",1
"222","EPO","HLA.DRA","EPO.HLA.DRA",1
"223","EPO","IFNGR2","EPO.IFNGR2",1
"224","EPO","PRSS1","EPO.PRSS1",1
"225","EPO","NPY","EPO.NPY",1
"226","EPO","ESR1","EPO.ESR1",1
"227","EPO","TP73","EPO.TP73",1
"228","EPO","ISL1","EPO.ISL1",1
"229","EPO","ATP10A","EPO.ATP10A",1
"230","EPO","SNRPN","EPO.SNRPN",1
"231","EPO","LIF","EPO.LIF",1
"232","EPO","VAMP8","EPO.VAMP8",1
"233","EPO","FLT4","EPO.FLT4",1
"234","EPO","WT1","EPO.WT1",1
"235","EPO","PLA2G2A","EPO.PLA2G2A",1
"236","EPO","EDNRB","EPO.EDNRB",1
"237","EPO","HSPA2","EPO.HSPA2",1
"238","EPO","RIPK3","EPO.RIPK3",1
"239","EPO","GFI1","EPO.GFI1",1
"240","EPO","KRAS","EPO.KRAS",1
"241","STAT5A","ONECUT2","STAT5A.ONECUT2",1
"242","STAT5A","PRKCDBP","STAT5A.PRKCDBP",1
"243","STAT5A","TWIST1","STAT5A.TWIST1",1
"244","STAT5A","EMR3","STAT5A.EMR3",1
"245","STAT5A","SEMA3B","STAT5A.SEMA3B",1
"246","STAT5A","TNFRSF10C","STAT5A.TNFRSF10C",1
"247","STAT5A","CPA4","STAT5A.CPA4",1
"248","STAT5A","LAT","STAT5A.LAT",1
"249","STAT5A","ASCL2","STAT5A.ASCL2",1
"250","STAT5A","ITK","STAT5A.ITK",1
"251","STAT5A","HLA.DRA","STAT5A.HLA.DRA",1
"252","STAT5A","IFNGR2","STAT5A.IFNGR2",1
"253","STAT5A","PRSS1","STAT5A.PRSS1",1
"254","STAT5A","NPY","STAT5A.NPY",1
"255","STAT5A","ESR1","STAT5A.ESR1",1
"256","STAT5A","TP73","STAT5A.TP73",1
"257","STAT5A","ISL1","STAT5A.ISL1",1
"258","STAT5A","ATP10A","STAT5A.ATP10A",1
"259","STAT5A","SNRPN","STAT5A.SNRPN",1
"260","STAT5A","LIF","STAT5A.LIF",1
"261","STAT5A","VAMP8","STAT5A.VAMP8",1
"262","STAT5A","FLT4","STAT5A.FLT4",1
"263","STAT5A","WT1","STAT5A.WT1",1
"264","STAT5A","PLA2G2A","STAT5A.PLA2G2A",1
"265","STAT5A","EDNRB","STAT5A.EDNRB",1
"266","STAT5A","HSPA2","STAT5A.HSPA2",1
"267","STAT5A","RIPK3","STAT5A.RIPK3",1
"268","STAT5A","GFI1","STAT5A.GFI1",1
"269","STAT5A","KRAS","STAT5A.KRAS",1
"270","ONECUT2","PRKCDBP","ONECUT2.PRKCDBP",1
"271","ONECUT2","TWIST1","ONECUT2.TWIST1",1
"272","ONECUT2","EMR3","ONECUT2.EMR3",1
"273","ONECUT2","SEMA3B","ONECUT2.SEMA3B",1
"274","ONECUT2","TNFRSF10C","ONECUT2.TNFRSF10C",1
"275","ONECUT2","CPA4","ONECUT2.CPA4",1
"276","ONECUT2","LAT","ONECUT2.LAT",1
"277","ONECUT2","ASCL2","ONECUT2.ASCL2",1
"278","ONECUT2","ITK","ONECUT2.ITK",1
"279","ONECUT2","HLA.DRA","ONECUT2.HLA.DRA",1
"280","ONECUT2","IFNGR2","ONECUT2.IFNGR2",1
"281","ONECUT2","PRSS1","ONECUT2.PRSS1",1
"282","ONECUT2","NPY","ONECUT2.NPY",1
"283","ONECUT2","ESR1","ONECUT2.ESR1",1
"284","ONECUT2","TP73","ONECUT2.TP73",1
"285","ONECUT2","ISL1","ONECUT2.ISL1",1
"286","ONECUT2","ATP10A","ONECUT2.ATP10A",1
"287","ONECUT2","SNRPN","ONECUT2.SNRPN",1
"288","ONECUT2","LIF","ONECUT2.LIF",1
"289","ONECUT2","VAMP8","ONECUT2.VAMP8",1
"290","ONECUT2","FLT4","ONECUT2.FLT4",1
"291","ONECUT2","WT1","ONECUT2.WT1",1
"292","ONECUT2","PLA2G2A","ONECUT2.PLA2G2A",1
"293","ONECUT2","EDNRB","ONECUT2.EDNRB",1
"294","ONECUT2","HSPA2","ONECUT2.HSPA2",1
"295","ONECUT2","RIPK3","ONECUT2.RIPK3",1
"296","ONECUT2","GFI1","ONECUT2.GFI1",1
"297","ONECUT2","KRAS","ONECUT2.KRAS",1
"298","PRKCDBP","TWIST1","PRKCDBP.TWIST1",1
"299","PRKCDBP","EMR3","PRKCDBP.EMR3",1
"300","PRKCDBP","SEMA3B","PRKCDBP.SEMA3B",1
"301","PRKCDBP","TNFRSF10C","PRKCDBP.TNFRSF10C",1
"302","PRKCDBP","CPA4","PRKCDBP.CPA4",1
"303","PRKCDBP","LAT","PRKCDBP.LAT",1
"304","PRKCDBP","ASCL2","PRKCDBP.ASCL2",1
"305","PRKCDBP","ITK","PRKCDBP.ITK",1
"306","PRKCDBP","HLA.DRA","PRKCDBP.HLA.DRA",1
"307","PRKCDBP","IFNGR2","PRKCDBP.IFNGR2",1
"308","PRKCDBP","PRSS1","PRKCDBP.PRSS1",1
"309","PRKCDBP","NPY","PRKCDBP.NPY",1
"310","PRKCDBP","ESR1","PRKCDBP.ESR1",1
"311","PRKCDBP","TP73","PRKCDBP.TP73",1
"312","PRKCDBP","ISL1","PRKCDBP.ISL1",1
"313","PRKCDBP","ATP10A","PRKCDBP.ATP10A",1
"314","PRKCDBP","SNRPN","PRKCDBP.SNRPN",1
"315","PRKCDBP","LIF","PRKCDBP.LIF",1
"316","PRKCDBP","VAMP8","PRKCDBP.VAMP8",1
"317","PRKCDBP","FLT4","PRKCDBP.FLT4",1
"318","PRKCDBP","WT1","PRKCDBP.WT1",1
"319","PRKCDBP","PLA2G2A","PRKCDBP.PLA2G2A",1
"320","PRKCDBP","EDNRB","PRKCDBP.EDNRB",1
"321","PRKCDBP","HSPA2","PRKCDBP.HSPA2",1
"322","PRKCDBP","RIPK3","PRKCDBP.RIPK3",1
"323","PRKCDBP","GFI1","PRKCDBP.GFI1",1
"324","PRKCDBP","KRAS","PRKCDBP.KRAS",1
