,ABI1,ACSL3,ATF1,ATIC,BTG1,CASP8,CBFB,CDC73,CHIC2,CHN1,CLTC,CREB1,CTNNB1,DDX5,ERCC4,EXT2,FH,GPHN,H3F3B,HERPUD1,IDH1,MAP2K4,MAX,MLF1,MLH1,MLLT10,NCOA4,NFE2L2,NRAS,PMS2,POT1,PRKAR1A,RAF1,RAP1GDS1,SDHB,SDHC,TCEA1,TFG,TP53,XPC,YWHAE,ABL1,BRD3,NUP214,RALGDS,SET,TSC1,ABL2,AKT1,ARNT,BCR,CARS,CHEK2,CNOT3,DDIT3,DICER1,ERBB2,ERCC2,GOLGA5,HRAS,KRAS,LASP1,MYH9,NF1,NF2,NUP98,PDE4DIP,PPP2R1A,RAC1,RB1,SMARCB1,STAT3,STAT5B,TFPT,TRIP11,AKAP9,ALK,ARHGEF12,ARID1A,ASXL1,ATP1A1,ATRX,AXIN1,BCL9,BRD4,CIC,CREBBP,DNM2,EP300,EPS15,ERCC5,EVI1,HIP1,JAK1,KTN1,MDM4,MDS1,MED12,MLL,MYST4,NCOA1,NOTCH2,NSD1,PAX8,PBRM1,PCM1,PCSK7,RBM15,RNF43,SETD2,SMARCA4,SRGAP3,STAG2,TCF12,TCF3,TCF7L2,TRIM33,TRRAP,TSC2,USP6,WRN,ZRSR2,AKT2,ATP2B3,CACNA1D,CBFA2T3,CBL,CDK6,CDX2,DDX6,FANCA,FEV,FLT3,GATA2,GATA3,HIST1H4I,HOXA11,HOXA9,HOXC11,HOXC13,HOXD11,HOXD13,JAK3,KCNJ5,KLK2,LMO1,MDM2,MPL,NTRK3,OLIG2,PAX3,PAX5,PAX7,PHOX2B,PRDM16,RET,ROS1,SSX1,SSX2,TCL6,TLX1,TLX3,TPM3,TSHR,ALDH2,APC,BCL10,BCL2,CEBPA,CREB3L2,CYLD,DDB2,EGFR,FOXL2,FVT1,GAS7,HLF,IL6ST,JAK2,JUN,KDR,KLF4,LMO2,LPP,MAF,MALT1,MET,MITF,MYD88,NOTCH1,NR4A3,PER1,PIK3R1,PIM1,PPARG,RANBP17,SDC4,SOX2,TFE3,XPA,ZNF331,ASPSCR1,BAP1,BCL11A,CALR,CANT1,DAXX,DEK,FANCE,FANCF,FHIT,H3F3A,HMGA1,MEN1,MLLT3,MUTYH,MYB,MYCL1,PALB2,PBX1,TRIM27,ATM,BMPR1A,CAMTA1,CCDC6,CDH1,FGFR2,FUBP1,GNAQ,MLLT4,NCOA2,NT5C2,NUMA1,PICALM,PIK3CA,PTEN,SFPQ,SS18,TBL1XR1,THRAP3,TMPRSS2,BCL11B,BCL7A,CCNB1IP1,CCND1,CCND2,CHCHD7,ETV4,ETV5,FGFR1,FGFR3,GNAS,GPC3,HEY1,HMGA2,KIT,MYCN,PLAG1,RAD51L1,X6.Sep,SETBP1,SMO,SS18L1,WHSC1L1,WIF1,ZNF384,BCL3,BIRC3,CBLB,CCND3,CD74,CIITA,CSF3R,ELF4,ETV6,FNBP1,LYL1,MSN,MTCP1,MUC1,NFKB2,PML,REL,SLC34A2,TFEB,TNFAIP3,TNFRSF14,WAS,BCL6,BLM,BRCA2,BUB1B,CCNE1,CDKN2A,CDKN2C,EZH2,FANCC,FANCG,NFIB,RECQL4,SYK,WT1,BCOR,EWSR1,FBXW7,FIP1L1,FUS,HNRNPA2B1,KIF5B,PRCC,PTPN11,TAF15,TOP1,TPR,U2AF1,WHSC1,BRAF,CBLC,COX6C,CRTC3,ELK4,ELL,EXT1,FAM46C,FGFR1OP,GMPS,HIST1H3B,IDH2,LIFR,MAP2K1,NDRG1,PAFAH1B2,RAD21,RPN1,SOCS1,TFRC,TPM4,UBR5,WWTR1,BRCA1,BRIP1,C2orf44,CDK4,DNMT3A,EML4,ERCC3,FBXO11,MSH2,MSH6,NONO,PMS1,SF3B1,SFRS3,SMARCE1,SUZ12,XPO1,CD79A,CD79B,IRF4,POU2AF1,PRDM1,TCL1A,TNFRSF17,CDH11,COL1A1,CREB3L1,ELN,ERG,ETV1,LHFP,MN1,MYH11,OMD,PDGFRA,PDGFRB,CLTCL1,FSTL3,GNA11,MAP2K2,MKL1,PDGFB,RARA,RUNX1,SH3GL1,STK11,DDX10,EIF4A2,MYC,NACA,NPM1,RPL10,RPL22,RPL5,SDHD,DUX4,GATA1,IL2,MLLT1,NTRK1,TAL1,TERT,FCGR2B,FLI1,IKZF1,IL21R,IL7R,ITK,LCK,LCP1,MAFB,PRF1,PTPRC,SH2B3
PI3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.055019,0,0,0,0,0,-0.038735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10389,0,0,0,0,0,0,0,0,-0.015038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042669,0,0,0,0,0,0,0.049603,0,0,0,0,0,0,0,0,0,0,0,0.0302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02447,0,0,0,0,0,-0.0040865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.037793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0046151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GFAP,0,0.049415,0,0,0,0,0,0,0,0,0.0044911,0,0,0.0062097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.072284,0,0,0,0,0,0,0,0,0,-0.016552,0,0,0,0,0,0,0,0,0,0,0,-0.020033,0,0,0,0,0,0,0,0,0,0,0,0,-0.078317,0,0,0,-0.062315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081743,0,0,0,-0.018657,0,0,-0.032169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028854,-0.091589,0,0,0,-0.048611,0.061065,0,0,0,0,0,0,0,0,-0.05316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11065,0,0,0,0.1857,0,0.01675,0,0.13524,0,0,0,0,0,0,0,0.073038,0,0,0,0,0,0,0,0,0,0,0,0.026572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLA.DRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.097389,0,0,0,0,0,0,0,0,-0.075861,-0.11476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0064878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04297
TFF2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.041129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0026124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0010536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0053752,0,0,0,-0.02344,-0.082281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFTPD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025791,0,0.00071979,0.1121,0,0,0.15908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033201,0,0,0,0.0033526,0,0,0,0,0,0,0.071925,0,0,0.030727,0,0,0,0.13764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0081715,0,0,0,0,0,0,0,0,0,0,0,0,-0.072107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.050314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APOA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08252,0,0,0,0,0,0,0,0,-0.010299,0,0,0,-0.099156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.037694,0,-0.042411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079407,0,0,0,0,-0.04269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.046966,0,0,0,0,0,0,0,0,-0.01441,0,0,0,0,0,0,0,0.054623,0,0.00042488,0.021358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054148,0,0,0,0,0,0,0,0,0,0.15216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.032724,0,0,0,0,0,0,0,0,0,0.034961,0,0,0,0,0,0.032725,0,0,0,0,0.028295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.079001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.042889,0,0,0.042506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21585,0.14178,0,0,0.093635,0,0,0,0,0,0,0,0,0,0.016866,0,0,-0.049804,-0.058909,-0.019403,-0.048594,-0.067319,0,0,0,-0.074635,0,0,0,0,0,0,0,0,0,0,0,0.01778,0,0.032982,0,0,0,0,0
DES,0,0,0,0,0,0,0,0,0,0,0.07915,0,0,0.014178,0,0,0,0,0.012489,0,0,0,0,0,0,-0.051445,0,0,0,0,-0.048418,0.063643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10595,0,0,0,0,0,-0.056701,0,0,0,0,0,0,0,0.047749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0085739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.063604,0,0,0,0,0.02555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.071295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.029429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0060532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRB10,0,0,0,0,0,0,0,0,0,0.022677,0.032898,0,0,0,0,0,0,0,0.027858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048009,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01188,0,0,0,0,0,0,0,0.0038941,0,0,0.013605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033074,0.024706,0,0,0,0,0,0.063171,0,0,0,0,0.01388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INSR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02161,-0.042567,0,0,0,0,0,0,-0.01937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044493,0.081806,0.041487,0,0,0,0,0,0,0.015923,0.026533,0,0.034026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095207,0,0,0,0,0,0,0,0,0,0.046218,0,0,0,0.034135,0.066405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03176,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.041718,0,-0.023652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034621,0,0,0,0,0,-0.034102,0,0,0,0,0,0,0,0,0,0,0,0,-0.015072,0,0,0,0,0.15202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10623,0,0.15682,0,0,0,0,0,0,0,0,0,0,0,0,-0.019276,0,-0.24203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0088116,0,0,0,0,0,0,0,0,0,0,0
NPR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043422,0,0,0,0,0,0,0,0,0,0,0,0,-0.04164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015089,0,0,0,0,0,0,0.0027633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0075154,0,0,0,0,0
FGF1,0,0,0,0,0,0,0,0,0,0.01978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.012782,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.012459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0069169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.057313,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0067267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014934,0.012625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1022,0,0,0,0,0,0,0.026931,0,0.0084669,0,0,0,0,0,0.078534,0,0.021594,0,0.039479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00048824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010673,-0.050352,0,0,-0.041625,-0.053923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEFTY2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.047966,0.024423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.011313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015431,0,0,0,0,0,0,0,0,0,0,0,-0.0085317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0055062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024342,0,0,0,0,0,-0.041312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044223,0,0,-0.013902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
