,ABI1,ACSL3,ATF1,ATIC,BTG1,CASP8,CBFB,CDC73,CHIC2,CHN1,CLTC,CREB1,CTNNB1,DDX5,ERCC4,EXT2,FH,GPHN,H3F3B,HERPUD1,IDH1,MAP2K4,MAX,MLF1,MLH1,MLLT10,NCOA4,NFE2L2,NRAS,PMS2,POT1,PRKAR1A,RAF1,RAP1GDS1,SDHB,SDHC,TCEA1,TFG,TP53,XPC,YWHAE,ABL1,BRD3,NUP214,RALGDS,SET,TSC1,ABL2,AKT1,ARNT,BCR,CARS,CHEK2,CNOT3,DDIT3,DICER1,ERBB2,ERCC2,GOLGA5,HRAS,KRAS,LASP1,MYH9,NF1,NF2,NUP98,PDE4DIP,PPP2R1A,RAC1,RB1,SMARCB1,STAT3,STAT5B,TFPT,TRIP11,AKAP9,ALK,ARHGEF12,ARID1A,ASXL1,ATP1A1,ATRX,AXIN1,BCL9,BRD4,CIC,CREBBP,DNM2,EP300,EPS15,ERCC5,EVI1,HIP1,JAK1,KTN1,MDM4,MDS1,MED12,MLL,MYST4,NCOA1,NOTCH2,NSD1,PAX8,PBRM1,PCM1,PCSK7,RBM15,RNF43,SETD2,SMARCA4,SRGAP3,STAG2,TCF12,TCF3,TCF7L2,TRIM33,TRRAP,TSC2,USP6,WRN,ZRSR2,AKT2,ATP2B3,CACNA1D,CBFA2T3,CBL,CDK6,CDX2,DDX6,FANCA,FEV,FLT3,GATA2,GATA3,HIST1H4I,HOXA11,HOXA9,HOXC11,HOXC13,HOXD11,HOXD13,JAK3,KCNJ5,KLK2,LMO1,MDM2,MPL,NTRK3,OLIG2,PAX3,PAX5,PAX7,PHOX2B,PRDM16,RET,ROS1,SSX1,SSX2,TCL6,TLX1,TLX3,TPM3,TSHR,ALDH2,APC,BCL10,BCL2,CEBPA,CREB3L2,CYLD,DDB2,EGFR,FOXL2,FVT1,GAS7,HLF,IL6ST,JAK2,JUN,KDR,KLF4,LMO2,LPP,MAF,MALT1,MET,MITF,MYD88,NOTCH1,NR4A3,PER1,PIK3R1,PIM1,PPARG,RANBP17,SDC4,SOX2,TFE3,XPA,ZNF331,ASPSCR1,BAP1,BCL11A,CALR,CANT1,DAXX,DEK,FANCE,FANCF,FHIT,H3F3A,HMGA1,MEN1,MLLT3,MUTYH,MYB,MYCL1,PALB2,PBX1,TRIM27,ATM,BMPR1A,CAMTA1,CCDC6,CDH1,FGFR2,FUBP1,GNAQ,MLLT4,NCOA2,NT5C2,NUMA1,PICALM,PIK3CA,PTEN,SFPQ,SS18,TBL1XR1,THRAP3,TMPRSS2,BCL11B,BCL7A,CCNB1IP1,CCND1,CCND2,CHCHD7,ETV4,ETV5,FGFR1,FGFR3,GNAS,GPC3,HEY1,HMGA2,KIT,MYCN,PLAG1,RAD51L1,X6.Sep,SETBP1,SMO,SS18L1,WHSC1L1,WIF1,ZNF384,BCL3,BIRC3,CBLB,CCND3,CD74,CIITA,CSF3R,ELF4,ETV6,FNBP1,LYL1,MSN,MTCP1,MUC1,NFKB2,PML,REL,SLC34A2,TFEB,TNFAIP3,TNFRSF14,WAS,BCL6,BLM,BRCA2,BUB1B,CCNE1,CDKN2A,CDKN2C,EZH2,FANCC,FANCG,NFIB,RECQL4,SYK,WT1,BCOR,EWSR1,FBXW7,FIP1L1,FUS,HNRNPA2B1,KIF5B,PRCC,PTPN11,TAF15,TOP1,TPR,U2AF1,WHSC1,BRAF,CBLC,COX6C,CRTC3,ELK4,ELL,EXT1,FAM46C,FGFR1OP,GMPS,HIST1H3B,IDH2,LIFR,MAP2K1,NDRG1,PAFAH1B2,RAD21,RPN1,SOCS1,TFRC,TPM4,UBR5,WWTR1,BRCA1,BRIP1,C2orf44,CDK4,DNMT3A,EML4,ERCC3,FBXO11,MSH2,MSH6,NONO,PMS1,SF3B1,SFRS3,SMARCE1,SUZ12,XPO1,CD79A,CD79B,IRF4,POU2AF1,PRDM1,TCL1A,TNFRSF17,CDH11,COL1A1,CREB3L1,ELN,ERG,ETV1,LHFP,MN1,MYH11,OMD,PDGFRA,PDGFRB,CLTCL1,FSTL3,GNA11,MAP2K2,MKL1,PDGFB,RARA,RUNX1,SH3GL1,STK11,DDX10,EIF4A2,MYC,NACA,NPM1,RPL10,RPL22,RPL5,SDHD,DUX4,GATA1,IL2,MLLT1,NTRK1,TAL1,TERT,FCGR2B,FLI1,IKZF1,IL21R,IL7R,ITK,LCK,LCP1,MAFB,PRF1,PTPRC,SH2B3
CHI3L2,0.010107,0.086863,0.044929,0,0.039996,-0.017404,0.014918,0,0,0.10997,0,0.076264,0.12523,0.054358,-0.0091164,-0.041301,0.0042688,0.025356,0.035851,0,0.048479,0.037485,0,0.027586,0.085889,0.0095537,0.021287,0.030052,0.013409,0.020837,0.028602,0.025535,0.055942,0.0093041,0.0236,0,0.10931,0.033946,0.038357,0.039253,0.024119,0.055637,0.036603,-0.019331,0.0058755,0.04702,0.012723,0.027361,0.025587,-0.042398,0.019714,-0.01159,0.074539,0.020265,0.016212,0,0,0.025176,0.020303,0.0018039,0.0041018,-0.017456,-0.031563,-0.042057,-0.02724,0.036273,-0.13766,0.050076,-0.025032,-0.04468,0.030326,-0.10406,0.010226,0,0,0.012531,-0.011923,0,0.0043586,0.01681,0.0093063,0.037055,-0.012598,-0.041047,0.01751,0.041863,0.0084057,0,0.03681,-0.0010631,0,0.080553,-0.02059,-0.030206,0.058182,0.0059886,0.046376,-0.044374,0.044595,0.040615,0,-0.024893,-0.019327,0,0.064968,0,0.041493,0.027295,0.055441,0.050601,0.058426,-0.05418,-0.020657,-0.02247,-0.015154,-0.032418,0,0.030029,0.015686,0,0,0.024169,-0.023259,-0.0054456,0.011241,-0.040693,0.012504,0.008607,-0.048043,0.0011669,0.024791,-0.039025,0.01543,0.018544,-0.070086,-0.013949,0.01104,0,0.021343,0,0.017334,-0.029283,-0.006317,-0.0082834,-0.013041,-0.028532,0.032527,0,-0.031773,-0.10613,-0.021431,-0.049304,-0.030641,0.059166,-0.02004,-0.012673,-0.026033,-0.0032141,0.019789,0,-0.010739,-0.039132,-0.038639,0,-0.14865,0,0,0,-0.01496,0,-0.011864,0.011999,-0.12355,0.030578,0,0.073814,-0.021248,-0.045867,0.030677,0.037599,0.065452,0.058569,0.011193,-0.069633,-0.031244,0,0.020067,0.074002,-0.002613,0,0.012849,-0.056479,0.039045,0.085488,0,0.028547,0,-0.018426,-0.018913,0.10256,0,0.024196,0.028819,-0.015693,0.062131,0.0065422,0.057851,0.092922,0.047572,-0.020358,-0.079577,0.001838,0.055028,0.085797,0.07765,-0.029153,-0.040803,-0.053816,0.012908,-0.0098721,0,0.038908,0.0091598,0.0087824,0.062821,0.00215,0.072548,0.02757,0.047516,0.0074621,0.024587,-0.013814,0.020458,0.065021,0.06804,0.020842,0.059628,0.07165,0.041752,0,0.056318,0,-0.0060822,0,0,0.046845,0.1588,-0.021555,0.024546,0.026872,0.17272,0.046413,0.048379,0,0.12877,0.06618,0.050297,0.067972,0.0059374,0.019774,0.0045968,0.07874,0.061408,0,0.01607,-0.023756,-0.036805,-0.064555,-0.035169,-0.11065,-0.1617,-0.12738,-0.064178,-0.010591,-0.1229,-0.018436,0,-0.07735,-0.1072,-0.046357,-0.045131,-0.044374,0,-0.12088,-0.0334,-0.16081,-0.072365,-0.081334,-0.12921,0.093157,0.071149,0.09835,0,0.0060129,0,0.19587,0.083729,0.16111,0.015587,0.16504,0.042341,-0.016647,0.08063,0.11484,0.013892,0.023896,0.089065,0.12691,0.02186,0.03402,0.035203,0.006592,0.0012611,0,0,0.12192,-0.050282,0,0.0062659,0,-0.0040082,-0.034064,-0.01246,0,0.025225,-0.0034059,0.034587,0.01927,-0.035579,0.018719,-0.04367,0.026657,0.046714,0.012426,-0.045939,0.020495,0.016105,-0.010765,-0.017348,0.026543,0.12516,0.056623,0.088239,0.13863,0.05842,0,0.15988,0.12309,0.15191,0.024959,0.061999,0.12341,0.084621,0.02844,0.050156,0.044956,0.00076805,0.0023646,0.002155,0.02569,0.0021511,0,0,0.013493,0,0.019224,0,0.0016835,0.032093,0.00075862,0.028832,0.026105,0,-0.0091665,0.024695,0.075593,0.019691,-0.0060017,-0.041604,-0.038973,0,-0.064175,-0.034696,-0.0079924,0,0.078196,0.037276,0.013404,-0.011771,0.001996,-0.057631,-0.01244,0,0.030752,-0.0053304,0,0.0039801,0.037733,0,0.011061,-0.012749,-0.03338,-0.031373,-0.0076413,-0.028479,-0.021336,0.015635,0.012432,0,-0.029272,-0.021914,-0.030131,-0.018698
ASCL2,-0.051732,-0.051209,0.025532,-0.026261,0,0.0052485,0.055915,0,0.017612,0.01357,-0.031289,0.011461,0.019139,0,0,-0.075561,0.081884,0.09005,-0.0067154,0.061648,0,-0.018646,0.016038,0,0.049895,0,0.049818,0,-0.0086847,0.029174,0.051718,0,0,0,0.046257,0,0,0.035021,0,-0.058632,0.015701,-0.016122,-0.041655,-0.037331,-0.025395,0.0036941,-0.0091433,-0.0086024,-0.033521,-0.014682,0.016023,-0.048541,0.012256,-0.040554,0.056633,-0.0065144,-0.053151,0,-0.01467,-0.098582,-0.050573,0.017886,0,-0.03664,0.016108,-0.025687,-0.047592,-0.11264,0.025131,-0.0013635,-0.018389,0,-0.0016234,-0.059351,-0.035859,-0.021491,0,0,0.018681,0.0025445,-0.020695,0,-0.017035,-0.03983,0,0.0059581,0,0,-0.069952,-0.018076,0,0,0.04048,0,-0.020795,0,0.0017681,0,0.038046,0.00508,0.025125,0.0020484,0,0.045796,0.050515,0.011414,0.0079844,0.021829,-0.12172,0.024657,0.023846,0,0,-0.064088,0.010892,-0.042355,0,0.057129,0,-0.037021,-0.020891,-0.019877,-0.016844,-0.034608,0,-0.026434,-0.03383,-0.030351,0,-0.023549,0.011669,-0.0020477,-0.023261,-0.016086,-0.071973,0.025992,0,0.0056526,0.0097865,-0.021367,0,-0.016703,-0.034469,-0.0065157,-0.022769,-0.038692,-0.033419,0.047265,-0.02556,-0.033725,-0.071877,-0.015079,-0.041787,-0.023379,-0.024878,-0.019538,0,-0.022933,0,0,-0.018663,0.0037072,0.022271,0.014555,0.010754,0,0,-0.027882,0.0095019,0.042969,0.0041592,-0.028505,0,0,-0.040181,0.028201,0.0093495,0,0.050245,0.038524,0.038502,0,0,-0.040234,-0.011113,-0.039823,-0.011204,0.076997,0.014681,-0.020818,0,0.054584,0,0.022923,0,0.023489,0.0082475,-0.022997,0,-0.012268,0.015385,-0.021329,0.046372,-0.046735,0.021301,-0.023427,0,0.007758,0.033125,-0.13643,0,0.006257,0,0,0,-0.019541,-0.040507,-0.055279,0,0,0.039663,0.077206,0,0,0.068729,0.0079684,0.029095,0.033492,0.014462,-0.0081348,0,0,-0.034058,-0.021085,0.072109,0.024205,0.033862,0,0.063222,-0.016876,-0.025043,0.013279,-0.088397,0.01993,-0.049313,0.010259,0.09191,-0.034362,0,0.017355,0.014423,-0.018301,-0.056311,-0.0036154,0,-0.048126,0.020186,0.041006,-0.050633,0,0.010597,0.016838,0.0048254,-0.0096485,-0.02585,-0.052828,0.0041531,0.087284,-0.015602,0.057092,0.0106,0.021787,0.056468,0.050953,0,-0.039312,0,0.020571,0.083362,0.039882,0,0,0.0036486,0.08373,0.0042378,0.066798,0.023317,-0.0057605,0.017076,0.015016,-0.027682,0,0.049386,0.050628,0.068705,0.018251,-0.058868,0.0096793,0.05337,0,0,0.0477,0,0,-0.023565,0,0.014086,0.031891,-0.071192,-0.075281,-0.0093965,0,-0.0087956,-0.010207,-0.014359,0.017332,-0.013794,0,-0.010652,-0.023027,0.0048717,0,-0.064458,-0.014507,-0.0032178,0,-0.11009,0.0038423,-0.014778,-0.018902,0.012613,0.043456,-0.059851,-0.0078961,-0.024005,0.039604,0.021965,-0.025377,-0.011992,-0.011776,-0.021713,0.0035071,0.027349,0,0.021782,-0.019142,-0.016236,-0.018101,0.022843,0.015793,0.0042599,-0.0071858,0.036488,-0.010143,0.015942,0,0.0075707,0.018832,-0.011547,0.02995,-0.0148,0,0.0022549,-0.00615,0,0.017183,0,0.020434,-0.0030896,0.0081606,0.013807,0,0,0,0,0.0070895,0,0,0.032922,-0.052283,0.013052,-0.04137,-0.063817,-0.0041307,-0.010024,0.0064041,0.027188,0.039704,0.035912,0.049078,0.013415,0.024952,-0.004743,0.048959,-0.0018861,-0.0021119,-0.066297,-0.02703,-0.062758,0,0,0.0096618,0.03265,0,0,0.040208,0.017748,0,0.025219,0.054455,-0.014126,0.021976,0.014188
MGMT,-0.017573,-0.0038926,-0.057567,0.012061,0.013411,0.039523,0.059967,0,0,0.010941,0.0039978,-0.0025107,0.057353,-0.012327,0.07256,0,-0.013385,0.058974,0,0,0.065674,-0.017484,0.026091,-0.01693,0.040294,-0.054972,0.027328,0.026461,0,0,0.017314,0,0.043018,0,0,0,0.031479,-0.027356,0.038008,0.09424,0,0,0,0.038747,-0.013423,0.027102,-0.011836,0,0.036511,0.034797,0,-0.039623,0.032967,0,-0.034029,0,-0.015924,0.019557,0,0.0077267,-0.078172,-0.031674,0,0.051204,0.070406,-0.005918,-0.048571,0.032577,0,-0.021776,0.0041735,0.037368,0.069806,0.0216,0.019667,0.023623,0,-0.024649,0,-0.029039,0,0.0077367,0,0.012668,-0.0044985,0.023052,-0.051599,0,-0.012024,0,-0.01022,-0.031412,0.054977,-0.0095863,-0.020688,-0.015629,-0.039741,0.034588,-0.030714,-0.016717,0.026535,0,-0.015254,0.014146,0,0.023353,-0.061629,0.040581,0.017848,0.0080955,-0.0095403,0.042551,0,0,-0.067025,0,0.021756,0.05978,0.041953,0.019861,0.03397,0.03795,0.057665,0.033181,0,0,-0.056829,-0.084136,0.017458,-0.057617,0.043199,0,0.028377,0.014746,0.037336,-0.0061641,0,0,0.0199,-0.048476,0,0.0076287,0.014344,0.016417,0,0,0,-0.031062,0.034118,0,0,-0.039238,-0.032337,-0.0084866,0.066629,0.10061,0.019181,0.0081762,-0.018611,-0.0085651,0,0,0.050108,0.011272,0,0,0.022974,0.0029857,0.011987,-0.046728,0.013592,0.02098,0,0.068136,0,-0.031542,0.01107,-0.0058413,0.025251,-0.021564,-0.027468,-0.019196,-0.058336,0.038198,0.031716,-0.019377,-0.064628,0.011457,0,-0.055838,-0.010934,-0.024876,0.045708,-0.034657,0.030271,0,-0.02405,0.017082,0.011656,0.051602,-0.035477,-0.028342,0.055414,-0.061497,-0.032837,-0.0077395,0,-0.010357,-0.087618,-0.026469,-0.0092737,0.0089548,-0.059726,0,0,0.013106,0,0,0.022401,0,0,0,-0.02533,0.056995,0.042338,-0.0076233,-0.0061022,0.020837,0,-0.03054,0.034601,-0.10322,0.0099742,-0.036475,0,-0.020567,0.035249,0.010182,0.02484,0.014533,-0.01417,-0.0024642,-0.088489,-0.01062,-0.058016,0.0077372,-0.021936,0,-0.023901,0.058735,-0.01049,0,0.041139,0,-0.080062,0,-0.015254,-0.041812,0.014376,0.037632,-0.016205,0.02501,-0.016014,0.0032864,0.010897,-0.072404,0.025632,-0.031814,0.011966,-0.025597,0.03443,0.050895,-0.006489,0.046631,-0.027247,0.003745,0.0016589,0.05295,0.055795,0.023316,-0.026522,-0.010084,-0.01238,-0.04717,-0.028786,-0.041908,-0.014076,-0.024496,0.067445,0.028757,0.006638,0.0090682,0.021577,0,0.03494,0.02358,0,0.00063423,0.026385,0,0.043792,0.067847,0.062006,0,0.013516,0,-0.028314,0.013338,-0.0033414,-0.028567,-0.013498,-0.019552,-0.034555,0.0060217,0.005006,0.048076,0.06671,-0.010627,0.019895,0.081926,0,0.04527,-0.024277,0.063851,0.025957,0.052596,0.029192,0,0.03917,-0.0062327,0,-0.059894,-0.026866,-0.044708,0.037851,-0.015368,-0.0083016,0.0042305,0.010611,0.010381,0.015897,0,0,-0.015704,0.02735,-0.003827,0,-0.018337,0.014569,0.014702,0.017992,0.03191,0.023011,0.0027298,0.0204,0,0.009314,0.032157,-0.024183,0.034218,-0.015556,0.019689,0.030392,-0.0018902,-0.012166,-0.054466,0.011203,0,-0.042743,0,0,0.023014,-0.014195,0,0,0.0124,-0.10208,0.001083,-0.0058762,0.0047713,-0.060694,0.004882,-0.065953,-0.046888,-0.043877,-0.027886,-0.0043509,-0.015001,-0.017922,-0.0040169,0.020277,-0.016546,-0.011887,-0.065783,-0.046233,0.028627,0,-0.010913,-0.058085,-0.011242,-0.039972,-0.015512,-0.0056573,0,-0.023337,-0.037742,0.010201,0.0060796,-0.0066205,0,-0.0043557,-0.016141,-0.04975
CAPG,0,0,0.011484,-0.0081958,0.062538,0,0.0022035,-0.080963,0.024298,0,-0.0060612,-0.035245,0.0088856,-0.0016959,0,-0.031002,0,0.086723,0.015638,0.038169,-0.046694,0.038297,-0.034063,0,0.045232,0.053686,0.035341,0.060077,-0.0062088,0.031531,-0.02557,0,0.066133,-0.0052115,0.024379,0.023907,0.01448,0.0068569,0,0.12173,0.028774,0.010417,0.011004,0.019962,0,0.070734,0,-0.053671,0.016423,-0.0010074,0.028285,0.060347,0.018406,-0.059704,0.04675,0.0017515,0.031797,-0.067036,0,0.0095467,-0.021806,0.11141,-0.027127,0.015784,0.020262,0.066358,0.078762,-0.037922,0.062458,0.001179,0,0.076603,0.0224,-0.011382,-0.0085148,0.028806,-0.031566,-0.0054175,0.027844,0.010895,0.024575,0.02994,-0.011537,0,0,-0.053489,0,-0.025724,-0.034779,0,0.037276,0.047504,0.051924,0.033971,0.017888,-0.079891,0,0.055283,0.0084244,0.02476,0.082324,0.024973,0.071473,-0.018612,0.0316,0,0,-0.0033644,0.044736,0.04837,0,0.099993,0.030164,0,-0.012374,0.022554,0.025395,0.031197,0.0030463,0,0,0.04538,0.023089,0,-0.012494,0,-0.00058074,0.035122,0.033079,-0.064179,0.040261,-0.03382,0,-0.0082716,0,-0.0046058,0,0.018083,-0.022261,-0.02232,-0.036799,0.020885,-0.0080687,0,0,0.049969,0.0077293,0.017368,-0.041774,-0.018217,-0.031143,0,0.015769,0.044237,-0.048051,-0.0040502,0.0031257,0,-0.017721,-0.019007,-0.019871,-0.013792,0,-0.0050894,0.062598,0.031965,0,0.045814,0,-0.012159,0.046278,0,0.048252,0,-0.0070871,0,0.018876,0.0068674,0.0097621,0.015589,0,0,0.067379,0,0,0.0028504,-0.037639,0.014833,0.065817,-0.057488,0.045443,0.052062,-0.0075939,-0.04608,-0.016448,-0.02666,0.02018,0,0,0.042732,0.021111,-0.010439,0.063932,-0.027033,0,-0.023566,-0.050325,0,-0.049815,-0.020608,0.054922,-0.023782,-0.057417,-0.0058285,0.085095,0.038785,0.052727,0.081493,0,0.019966,0.016411,0,-0.0076373,0.068094,-0.012427,0.0093145,-0.027065,0.017327,0.012972,0.053125,0.090486,0.014657,0.011751,0.029185,0.033885,-0.0069511,0.023322,0.015794,0.025719,0.011805,0.005839,0.012418,-0.064672,-0.020768,-0.075084,0.013956,0,-0.024757,0.0042712,-0.010677,-0.040171,0.0071176,0.0072243,0.015186,0,0.048475,0.016079,-0.037458,0.026469,0.032671,-0.024287,0.029538,0.040842,0.015413,0.0061354,-0.064009,-0.0059058,-0.011095,0.0024219,0.058645,0.04329,0.091908,0.011687,-6.08E-05,0,0.0095942,0.0041519,0,0.041131,0.085087,0.03911,0.010378,0.007168,0.027528,-0.073173,0,-0.0059532,0,0.077774,0,0.014296,-0.044797,-0.024135,0.00045419,0.029228,0,-0.027245,0,0.093471,0,0.038374,0.038855,0.0096192,0.015374,0.019136,0.0047213,0.0060053,0.050311,0.033545,-0.0088731,0.0068235,0.02886,0,0.020297,0.052956,0.065345,-0.014338,-0.096077,-0.028421,0.052918,-0.0076331,0.0086002,-0.015448,0.047128,0.00045113,0.014456,-0.0054318,0.04456,0.028138,0.07494,0,-0.0031907,-0.021479,-0.01917,0,-0.031536,-0.04595,-0.027715,-0.0058917,0,-0.017095,0.0371,0.043307,0.018862,0.02329,0,0,0.042421,0.058253,0.043471,0,-0.044456,-0.019944,-0.0027893,0.063216,0,-0.0017896,-0.0074936,-0.010106,-0.0022483,0,0.0041424,0,-0.068384,-0.077308,-0.047737,-0.029298,0.058147,-0.042082,-0.046662,-0.003195,0,-0.039128,-0.07068,-0.057763,-0.00038585,-0.036536,0.01409,0.020222,0,0,0,-0.028478,-0.015328,-0.0048958,0,0,0.028034,0.070001,0,0.0031259,0.03259,0,-0.023522,0.010333,-0.019722,-0.0081109,0.018517,-0.040865,0.039374,-0.030981,0.03795,0.013607,0.012474,-0.0075826,-0.034339,0.013976,0,-0.006821,0,0.00524,0.01254,0.059417
PYCARD,0.0098373,-0.021225,0.028419,-0.050851,0.050209,0,-0.047458,0.022365,0,0,-0.0091127,0.0023061,0,0,0,-0.018543,-0.015115,0.033836,-0.049758,-0.010839,-0.018181,0.030014,0.025153,0.024234,0.023745,0.083542,-0.03353,0,0.0025296,0.015887,0.060549,0,0.033704,0.015157,0,0,0,0.016956,0.010613,0.016539,0,0,0.0068437,0.010842,-0.016503,-0.0028553,0,0.078272,0,0.011276,0.019674,-0.040238,0.066213,0,0.025612,0.047398,-0.0042753,0.027092,0,0,0.014891,0,-0.027793,0.026471,0.010469,0.024867,0.002142,0.024823,-0.0038191,0,0.017204,0,0.0028051,0,0.0073866,0,0.019307,0,0.01277,0,0.0074271,-0.011838,0,-0.011795,-0.0016566,0.026632,0.0056663,-0.042769,-0.006409,0.0023298,-0.026045,-0.038175,-0.048816,0,-0.0092709,-0.034528,0.0047381,-0.032394,0.019979,0.010235,0,0.043879,-0.013579,0.00038153,0.014709,0,-0.04709,-0.010213,0,0.033134,0,0.027172,-0.0055424,-0.036242,-0.02356,-0.0080501,0.007566,0.048321,-0.007076,0,0.00087901,0,-0.012882,0,0.018642,-0.055251,0,0.028889,0,-0.016693,0.015516,0.01329,0.010903,-0.028552,-0.010401,0.036736,-0.0044111,0.01072,-0.0071094,0.017248,-0.023739,-0.0028782,-0.0014041,0.0064523,0,-0.0098436,0.049016,0.015016,0.017395,0,-0.011597,-0.034201,0.0063364,-0.026387,0.01185,-0.052538,-0.026477,0.03943,0.077039,0.017451,-0.00071284,-0.020846,-0.049977,0.029031,-0.010304,-0.011092,-0.020305,-0.050559,0,0,-0.02544,-0.061588,-0.027391,0,-0.041957,-0.0012249,-0.01332,0,0,0.015209,0.0013014,0.020864,-0.0024621,-0.0019194,-0.023986,-0.014243,0.0071164,0.017523,0,-0.063228,0,0.014568,0.033979,0.034874,-0.041875,0.031604,-0.038219,0,0,0,0.084565,0,0,0,-0.032617,-0.0099881,0,0.036482,0.019502,-0.10456,0,-0.0054251,0,0.015597,0.025302,0.010642,-0.020794,-0.015779,0,0.032439,-0.005676,0.030626,0.034964,0.0063745,-0.018951,-0.010031,0.063345,-0.010094,0,0,-0.030804,0.015506,0,0.0067904,-0.051709,0.0043614,0,0.076821,0,0,-0.027177,-0.019339,0,0.034446,-0.0032836,0.044779,0,-0.079507,-0.025554,0.06488,0,-0.0051298,0.018544,0,0.070048,0,0,0.0649,0.049114,-0.0081661,0.010722,0.058184,-0.02841,0.01509,0,0.028329,-0.053121,-0.014187,-0.0025136,-0.058713,0,-0.013904,0.05344,-0.029218,-0.049767,-0.018197,0.050691,-0.037094,0,-0.00082526,0,-0.0086719,-0.030338,-0.031242,-0.031153,-0.013797,-0.034621,0.0033034,0,-0.0048079,0.023538,-0.017847,0.012079,0.0080321,0.025076,0.058462,0.029208,0,0.0048303,0.060555,0,0,0,0.010533,-0.0066037,0.01402,0.012644,0,0.014681,-0.0030759,-0.021231,-0.010553,0,0,-0.010777,0.0032631,0.049253,-0.035616,-0.0012541,-0.013182,-0.013019,-0.056305,0.010145,-0.011794,0.0029512,0,0,-0.0069833,0.0071913,-0.045241,-0.015875,-0.020352,0,-0.014957,0,0.0063004,-0.016906,0,-0.014101,-0.011722,0.015629,0,0.042959,0.01362,0,-0.0058602,-0.02716,0.012809,0.042555,-0.01635,0.025148,0.014812,-0.0024858,-0.0043469,0,-0.052655,0.0093699,-0.041941,0.051635,0.017492,0,0.010752,-0.0013816,0,0.036924,0.010014,0.010488,0.063793,0,0.0055199,-0.0050043,0,0,0.015951,0,-0.022357,0.00083441,0,0,0,-0.045203,0.0088761,0.022259,0.018829,0.015397,0.0030495,-0.0078229,0.0096242,-0.0012214,0,0,0.010934,-0.0020614,0.01779,-0.01435,-0.051169,0.04063,0.02203,0,-0.021415,-0.023636,0,0.0080481,-0.011063,0,-0.0033578,0,0,0.0087719,-0.0054514,-0.0088649,0.0054869,-0.0087236
