"Finalmethynames","Finalmethy1names","Finalgenenames","Finalsimilarityvalues"
"106","PI3","TFAP2C","PI3.TFAP2C",0.680712398323385
"107","PI3","FANCE","PI3.FANCE",0.680712398323385
"108","PI3","LRRC32","PI3.LRRC32",0.680712398323385
"109","PI3","MAPK9","PI3.MAPK9",0.680712398323385
"110","PI3","KIT","PI3.KIT",0.680712398323385
"111","PI3","IRF7","PI3.IRF7",0.680712398323385
"112","PI3","ELK1","PI3.ELK1",0.680712398323385
"113","PI3","MOS","PI3.MOS",0.680712398323385
"114","PI3","MYCL1","PI3.MYCL1",0.680712398323385
"115","PI3","OAT","PI3.OAT",0.680712398323385
"116","PI3","GPC3","PI3.GPC3",0.680712398323385
"117","PI3","CSF3","PI3.CSF3",0.680712398323385
"118","PI3","PTHLH","PI3.PTHLH",0.680712398323385
"119","PI3","TFF1","PI3.TFF1",0.680712398323385
"120","PI3","IHH","PI3.IHH",0.680712398323385
"121","PI3","CHGA","PI3.CHGA",0.680712398323385
"122","PI3","GABRB3","PI3.GABRB3",0.680712398323385
"123","PI3","FLI1","PI3.FLI1",0.680712398323385
"124","PI3","HDAC6","PI3.HDAC6",0.680712398323385
"125","PI3","BMP3","PI3.BMP3",0.680712398323385
"126","PI3","VBP1","PI3.VBP1",0.680712398323385
"127","PI3","SPP1","PI3.SPP1",0.680712398323385
"128","PI3","PODXL","PI3.PODXL",0.680712398323385
"129","PI3","MMP7","PI3.MMP7",0.680712398323385
"130","PI3","GSTM1","PI3.GSTM1",0.680712398323385
"131","PI3","AXL","PI3.AXL",0.680712398323385
"132","PI3","XRCC2","PI3.XRCC2",0.680712398323385
"133","PI3","IRF5","PI3.IRF5",0.680712398323385
"134","PI3","PRKAR1A","PI3.PRKAR1A",0.680712398323385
"135","PI3","ERCC6","PI3.ERCC6",0.680712398323385
"136","PI3","EFNB3","PI3.EFNB3",0.680712398323385
"137","PI3","SCGB3A1","PI3.SCGB3A1",0.680712398323385
"138","PI3","TUSC3","PI3.TUSC3",0.680712398323385
"139","PI3","PKD2","PI3.PKD2",0.680712398323385
"140","PI3","PDE1B","PI3.PDE1B",0.680712398323385
"141","PI3","NAT2","PI3.NAT2",0.680712398323385
"142","PI3","PGR","PI3.PGR",0.680712398323385
"143","PI3","IL3","PI3.IL3",0.680712398323385
"144","PI3","CASP10","PI3.CASP10",0.680712398323385
"145","PI3","F2R","PI3.F2R",0.680712398323385
"146","PI3","TGFB2","PI3.TGFB2",0.680712398323385
"147","PI3","TFDP1","PI3.TFDP1",0.680712398323385
"148","PI3","IL12B","PI3.IL12B",0.680712398323385
"149","PI3","ABCC5","PI3.ABCC5",0.680712398323385
"150","PI3","PAX6","PI3.PAX6",0.680712398323385
"151","PI3","USP29","PI3.USP29",0.680712398323385
"152","PI3","ABCG2","PI3.ABCG2",0.680712398323385
"153","PI3","HDAC5","PI3.HDAC5",0.680712398323385
"154","PI3","PSCA","PI3.PSCA",0.680712398323385
"155","PI3","CHD2","PI3.CHD2",0.680712398323385
"156","PI3","IGFBP7","PI3.IGFBP7",0.680712398323385
"157","PI3","PROM1","PI3.PROM1",0.680712398323385
"158","PI3","IL10","PI3.IL10",0.680712398323385
"159","PI3","IL4","PI3.IL4",0.680712398323385
"160","PI3","IGFBP2","PI3.IGFBP2",0.680712398323385
"161","PI3","ARAF","PI3.ARAF",0.680712398323385
"162","PI3","EGFR","PI3.EGFR",0.680712398323385
"163","PI3","DAB2","PI3.DAB2",0.680712398323385
"164","PI3","COL1A1","PI3.COL1A1",0.680712398323385
"165","PI3","LCN2","PI3.LCN2",0.680712398323385
"166","PI3","GPX1","PI3.GPX1",0.680712398323385
"167","PI3","RUNX1T1","PI3.RUNX1T1",0.680712398323385
"168","PI3","MSH2","PI3.MSH2",0.680712398323385
"169","PI3","APOC1","PI3.APOC1",0.680712398323385
"170","PI3","IL13","PI3.IL13",0.680712398323385
"171","PI3","DKC1","PI3.DKC1",0.680712398323385
"172","PI3","TIMP2","PI3.TIMP2",0.680712398323385
"173","PI3","COL6A1","PI3.COL6A1",0.680712398323385
"174","PI3","EPHB1","PI3.EPHB1",0.680712398323385
"175","PI3","ELK3","PI3.ELK3",0.680712398323385
"176","PI3","WNT10B","PI3.WNT10B",0.680712398323385
"177","PI3","TDG","PI3.TDG",0.680712398323385
"178","PI3","AGXT","PI3.AGXT",0.680712398323385
"179","PI3","MXI1","PI3.MXI1",0.680712398323385
"180","PI3","EPHB4","PI3.EPHB4",0.680712398323385
"181","PI3","NOS3","PI3.NOS3",0.680712398323385
"182","PI3","GJB2","PI3.GJB2",0.680712398323385
"183","PI3","PTK2","PI3.PTK2",0.680712398323385
"184","PI3","FGF5","PI3.FGF5",0.680712398323385
"185","PI3","TGFB1","PI3.TGFB1",0.680712398323385
"186","PI3","FER","PI3.FER",0.680712398323385
"187","PI3","MMP1","PI3.MMP1",0.680712398323385
"188","PI3","GRPR","PI3.GRPR",0.680712398323385
"189","PI3","PTGS1","PI3.PTGS1",0.680712398323385
"190","PI3","CDC25B","PI3.CDC25B",0.680712398323385
"191","PI3","ACVR1C","PI3.ACVR1C",0.680712398323385
"192","PI3","TMEFF1","PI3.TMEFF1",0.680712398323385
"193","PI3","ITGB4","PI3.ITGB4",0.680712398323385
"194","PI3","GABRA5","PI3.GABRA5",0.680712398323385
"195","PI3","RAD50","PI3.RAD50",0.680712398323385
"196","PI3","ACVR1B","PI3.ACVR1B",0.680712398323385
"197","PI3","SHH","PI3.SHH",0.680712398323385
"198","PI3","PLXDC2","PI3.PLXDC2",0.680712398323385
"199","PI3","DDR1","PI3.DDR1",0.680712398323385
"200","PI3","DDB2","PI3.DDB2",0.680712398323385
"201","PI3","MYB","PI3.MYB",0.680712398323385
"202","PI3","MLLT6","PI3.MLLT6",0.680712398323385
"203","PI3","XRCC1","PI3.XRCC1",0.680712398323385
"204","PI3","HIC1","PI3.HIC1",0.680712398323385
"205","PI3","ETS1","PI3.ETS1",0.680712398323385
"206","PI3","SMARCB1","PI3.SMARCB1",0.680712398323385
"207","PI3","MPL","PI3.MPL",0.680712398323385
"208","PI3","DSC2","PI3.DSC2",0.680712398323385
"209","PI3","LRP2","PI3.LRP2",0.680712398323385
"210","PI3","IL2","PI3.IL2",0.680712398323385
"211","PI3","GLI3","PI3.GLI3",0.680712398323385
"212","PI3","DSP","PI3.DSP",0.680712398323385
"213","PI3","EPM2A","PI3.EPM2A",0.680712398323385
"214","PI3","FABP3","PI3.FABP3",0.680712398323385
"215","PI3","SHB","PI3.SHB",0.680712398323385
"216","PI3","TYRO3","PI3.TYRO3",0.680712398323385
"217","PI3","ITGA2","PI3.ITGA2",0.680712398323385
"218","PI3","PCDH1","PI3.PCDH1",0.680712398323385
"219","PI3","KIAA0125","PI3.KIAA0125",0.680712398323385
"220","PI3","RYK","PI3.RYK",0.680712398323385
"221","PI3","APP","PI3.APP",0.680712398323385
"222","PI3","X5.Sep","PI3.X5.Sep",0.680712398323385
"223","PI3","EPHA7","PI3.EPHA7",0.680712398323385
"224","PI3","RAP1A","PI3.RAP1A",0.680712398323385
"225","PI3","VAV2","PI3.VAV2",0.680712398323385
"226","PI3","MMP10","PI3.MMP10",0.680712398323385
"227","PI3","FYN","PI3.FYN",0.680712398323385
"228","PI3","BCR","PI3.BCR",0.680712398323385
"229","PI3","SKI","PI3.SKI",0.680712398323385
"230","PI3","ICAM1","PI3.ICAM1",0.680712398323385
"231","PI3","CASP2","PI3.CASP2",0.680712398323385
"232","PI3","LMTK2","PI3.LMTK2",0.680712398323385
"233","PI3","HLA.DOA","PI3.HLA.DOA",0.680712398323385
"234","PI3","RASA1","PI3.RASA1",0.680712398323385
"235","PI3","PPARD","PI3.PPARD",0.680712398323385
"236","PI3","PDGFA","PI3.PDGFA",0.680712398323385
"237","PI3","ITGA6","PI3.ITGA6",0.680712398323385
"238","PI3","TNC","PI3.TNC",0.680712398323385
"239","PI3","EPHA1","PI3.EPHA1",0.680712398323385
"240","PI3","ENC1","PI3.ENC1",0.680712398323385
"241","PI3","CLK1","PI3.CLK1",0.680712398323385
