,ABI1,BCL10,BMPR1A,BTG1,CBFB,CDKN2C,CHIC2,DAXX,EXT2,FLT3,H3F3A,H3F3B,LASP1,MAP2K4,MDM2,MLLT3,MSN,NCOA4,NRAS,PRCC,RB1,SET,SFRS3,SMARCE1,TP53,TPM3,TRIM27,ABL1,AKT1,ASXL1,BCL9,BRD3,BRD4,CIC,CNOT3,CRTC3,HIP1,MED12,MEN1,MLLT1,MN1,MYST4,NOTCH1,NUMA1,NUP214,SETBP1,STK11,TCF3,TCF7L2,TSC1,TSC2,ZNF384,ABL2,BCL3,BCL6,ETV1,ETV6,GATA3,HOXD11,JUN,KCNJ5,KLF4,LMO1,MTCP1,MUC1,MYC,NR4A3,NTRK1,PAX5,PER1,RUNX1,SOX2,ZNF331,ACSL3,CDH1,GOLGA5,GPHN,KRAS,KTN1,PICALM,PPARG,RAP1GDS1,TFEB,WRN,XPA,AKAP9,APC,ARHGEF12,ATRX,BRAF,DICER1,ELK4,ERCC4,LPP,MLLT4,NCOA2,NF1,NSD1,PBRM1,PCM1,PTPN11,RBM15,SETD2,TPR,TRIM33,TRIP11,TRRAP,UBR5,WHSC1L1,AKT2,BCR,CACNA1D,CALR,CARS,CBLC,CCNB1IP1,CDK4,COX6C,CREB3L1,DDIT3,EIF4A2,ETV4,FANCE,FGFR1,GATA2,GMPS,GNAS,HOXA11,MLH1,PIM1,RAF1,RET,RPN1,SDC4,SOCS1,TFG,ALDH2,ATP2B3,CAMTA1,CCND1,CHN1,DDX10,FANCF,GATA1,HIST1H4I,LIFR,MLF1,PBX1,PIK3R1,RAD51L1,SDHC,YWHAE,ALK,ATIC,CEBPA,CHEK2,CLTCL1,ETV5,HMGA1,HMGA2,HOXC11,HOXD13,IDH1,MET,PDE4DIP,RANBP17,RECQL4,SLC34A2,WT1,ARID1A,ARNT,ATM,BCL2,BCOR,C2orf44,CASP8,CCDC6,CREB1,CREB3L2,CREBBP,DDX6,EGFR,EML4,EP300,EPS15,ERCC3,ERCC5,FBXO11,FGFR2,FIP1L1,FUBP1,HLF,JAK1,MALT1,MLLT10,MSH2,MSH6,NCOA1,NONO,PMS1,PTEN,SF3B1,STAG2,STAT3,STAT5B,TBL1XR1,THRAP3,WWTR1,XPC,XPO1,ASPSCR1,CCND2,CCND3,CD79B,CDKN2A,DDB2,DNM2,FANCG,FGFR1OP,FSTL3,HOXC13,HRAS,LYL1,MAP2K2,MAX,MYCN,NDRG1,NFIB,PPP2R1A,RAC1,RARA,SH3GL1,SMARCB1,TFPT,U2AF1,ATF1,CDC73,CLTC,IL6ST,KIF5B,NFE2L2,PAFAH1B2,PIK3CA,POT1,PRKAR1A,RAD21,SUZ12,TCEA1,WAS,ATP1A1,BAP1,CHCHD7,FH,FNBP1,GNA11,GPC3,HERPUD1,IDH2,KIT,MITF,PLAG1,PRDM16,SDHB,SDHD,TMPRSS2,AXIN1,BCL11A,BCL7A,ERBB2,ERCC2,FANCC,FGFR3,FHIT,HOXA9,MAF,NF2,NT5C2,PALB2,PAX8,PMS2,RNF43,SMO,SS18L1,TFE3,TNFRSF14,BCL11B,CD74,CD79A,CIITA,CYLD,GAS7,IKZF1,IL21R,IRF4,ITK,JAK3,LCK,LCP1,MYD88,POU2AF1,PRF1,PTPRC,TNFRSF17,BIRC3,BLM,BRCA1,BRCA2,BRIP1,BUB1B,CANT1,CDK6,CSF3R,ELF4,EZH2,FAM46C,FANCA,FCGR2B,IL7R,JAK2,MAFB,MAP2K1,NOTCH2,NUP98,X6.Sep,SRGAP3,SYK,TCF12,TFRC,TNFAIP3,TOP1,CBFA2T3,CDH11,COL1A1,ELN,EXT1,LHFP,MKL1,MYH11,MYH9,NTRK3,OMD,PCSK7,PDGFRA,PDGFRB,TPM4,CBLB,DDX5,DNMT3A,EWSR1,FBXW7,FUS,HNRNPA2B1,MDM4,MUTYH,MYB,NFKB2,RALGDS,SFPQ,SMARCA4,SS18,TAF15,USP6,WHSC1,ZRSR2,CCNE1,MYCL1,SSX2,TCL6,TERT,CTNNB1,ERG,FLI1,HEY1,KDR,LMO2,PDGFB,PRDM1,SH2B3,TAL1,TSHR,NACA,NPM1,RPL10,RPL22,RPL5
CHI3L2,0,0,0,0,0,-0.00020293,0,0,0,0,0,-0.0020253,0,0,-0.0039261,0,0,0,0,0,0,0,0,0,0,-0.005737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0029055,0,-0.002314,0,-0.0014745,0.002325,0,0,0,-0.002,0,0,0,0,0,0,0,0,0,0,0,0.0023375,0,0,0,0,0,0.003091,0.0091126,0.009296,0.0007978,0.0021857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008396,0.022414,0,0,0,0.013422,0,0.010558,0.0040404,0.026621,0,0.041196,0.0042215,0.0083427,0.0008514,0.001482,0.044771,0.012384,0.024173,0.00021921,0.010043,0.0083782,0,0.010735,0.0021726,0,-0.00013074,0,0,-0.00024201,0,0,0,0,0,0,0,-0.00018071,0,0,0,0,0,0,0,-0.0015401,0,0,0.013248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010614,0,0,0,0,-0.00148,0,0,0,0,0,0,0,6.59E-05,0,0,-0.00088513,-0.00040417,0,0,0,-0.0013943,0,0,-0.00040379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032658,0.044702,0.016072,0,0,0.044508,0.0029024,0.014762,0.019887,0.08026,0,0.022624,0.020872,0,0.033264,0.01147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026007,0,0,0,0.00038487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0028916,0,0,-0.0047172,0
PI3,0,0,0,0,0,0,0.0083212,0,0,0.054729,0,0,0,0,-0.016006,0.0010493,0,9.29E-05,0,0,0,0,0.025554,0.00096062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0051999,0,0,0,0,-0.0091402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034733,0,0,0,0,0,0.018276,0,0,0.01754,0,0,0.037322,0,0,0,0,0.017284,0.08832,0.0042944,0.018697,0.02626,0,0.0022494,0.0033328,0,0,0,0,-0.0016343,0,0,0,0,0,0,0.012269,0.0016846,0,0,0,0.014877,0,0.0013585,0.018592,0.0037964,-0.01362,0.0055652,0.062956,0,0.0026454,0,0,0.0024873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034367,0,0,0,0,-0.00033873,0,0.0053878,0,-0.00033746,0,0,0,0,0,0,-0.00027422,0,0,0,0,-0.0021148,0.0030334,0,-0.00060403,0.0031856,0,0,0,0,0.0046002,0,0,0,0,0,0,0,-0.0019255,0.0053918,0.0086822,0.034847,0.004325,0,0,-0.0038071,0,0.010248,0,0.01663,0.016766,-0.0045655,0.0057713,0.0063692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014671,0,0.0079171,-0.00061301,0,0.030259,0,0,0.0052573,0,0,-0.00020779,0.01744,0.073741,0.11206,0,0.0096478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.59E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003297,-0.0017412,0,-0.0021191,0
DNAJC15,0,0,0,0,0,0.00013278,0,0,0,0.00060168,0,0,0,0,0,0,0,0.00034004,0,0,0,0,0.00027361,0,0,0.0011065,0,0,0,0,0,0,-0.0079464,-0.006074,-0.0015546,-0.0012204,0,-0.0085207,-0.0089361,0,0,0,-0.00051774,-0.0030214,-7.13E-05,0,-0.0021972,-0.0010789,0,0,-0.0043693,0,0,0,-0.0086111,0.001836,-0.011329,0,0,0,0,0,0,0,-0.0025912,0,0,0,-0.0024927,0,0,0,0.0065043,0.055066,0,0.0020346,0,0.0048267,0,0.011546,0.0056743,0.048892,0,0.005033,0.042109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.011708,0,-0.013265,0,0.0012898,0,0,0.0020653,0,0,0.014009,0,0,0.0062328,0,0.013333,0.01702,0.0078919,0.02048,0.0026332,0.0032489,0,0,0,-0.004353,0,-0.00077902,0,0,0,0,0,0,0,0,0,0.013428,0.0022341,0,0.00012468,0,0.0086849,0,0.0025479,0,-0.0036892,0,0,0.032423,0,0,0,0,0.0086891,0,0,-0.0023882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0032254,0,-0.0052595,0,-0.0082007,0,0,0,-0.00015593,0.0025132,0,-0.0017849,-0.00072605,0,0,0,-0.0080621,0,0,0.00049075,0.015063,0,0,0,0.0036059,0.01498,0,0,0,0,0,0,0,0.025899,0.0039275,0,0.027847,0.011817,0,0,0.0030684,0,0,0.0023486,0,0.021407,0.0054177,0,0.022193,0.0019127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00065842,0,0,0,0,0,-0.0017414,0,0,0,-0.0027223,0.0010042,0.00071047,0,0,0.001743,0,0,0.0015539,0,0.00040765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023091,0,0,-0.00086477,0,0,0,0,0,-0.0016736,0,0,-0.014771,0,0,0,-0.0017192,0,0.00096847,0,0.00073663,0,-0.0022406,0,0,0,0,0,0,0,0,0,0,0,0,0.013951,0,0,0
X9.Sep,0,0,0,0,0,-0.0006041,0,0,0,-0.00051447,0,-0.00095851,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00086452,0,0,-0.00016268,-0.003703,0,0,-0.0073337,-0.0036072,-0.0016648,-0.0053834,0,-0.0090726,0,0,0,-0.001596,-0.00085285,-0.0023185,-0.00014744,-0.00089618,-0.00070368,-0.00072216,-0.0010506,-0.00038187,-0.0061478,0,-0.012919,0,-0.0039065,0.00019141,-0.0054958,0,0,0,0,-0.0028566,0,0,0.0046073,0,0,0,0,0,0,0,-0.0019211,-0.01836,0,0,0,-0.008753,0,-0.0042206,0,0,0.00031967,0,-0.0092587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01478,0,0,0,0.002904,0.050453,0.07912,0.0040565,0,0.042437,0.014983,0.10914,0.015694,0,0,0,0,0.023663,0.06322,0,-0.012404,-0.0082726,0,0.010056,0,0,0.002084,0,0,-0.0013149,0,0,0.0063036,0,-0.0012645,0,0.042683,-0.0082242,0,0,0,0.020158,0,0.0016827,0.0039166,0,-0.035062,0,0.038092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0066394,0,0,0,0,0,0,0.012761,0,-0.0040586,0,0,0,0.00018452,-0.0021873,0,0,-0.0010593,0,0,0,-0.004057,0,0,-0.0023499,0.014958,-0.00011095,0,0,-0.0014041,0,0,0,0.05786,0,0,0,0,0,0,0,0,0,0,-0.0090402,0,0.014529,0,0.017313,-0.011933,0.018361,0,0.044708,0.041668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001715,0,-0.00075449,0,0,-0.00099048,0,0,-0.0031856,0,-0.00042657,0.0037154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0099667,-0.0038504,-0.027316,-0.0013213,0,-0.028026,0,0,0,-0.00015818,0,-0.036364,-0.017448,-0.0078377,0,-1.80E-05,-0.011613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0050739,-0.0044541,0.0023899
ABCC2,0,0,0,0,0,-8.12E-05,0,0,0,5.56E-05,0,0,0,0,-3.84E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00017212,0,0,0,0,0,0,0,0,0,-0.001664,0,0,0,-0.00021761,-0.00032951,0,0,0,0,-0.0018653,0,-0.0011564,0,0,0,-0.0011684,0,0,0,0,0,0,0,0,0,0.0037451,0,0,0,0.00029507,0,0,0,0.001165,0.0011444,0,0,0,0.00030772,0,0,0,0,0.00039988,0.00060139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020467,0.029781,0.0046172,0,0.0019374,0,0,0.004002,0,0,0,0.01005,0.010747,0.013711,0.00097055,0,0,0.018387,0.030682,0.0021908,0.013878,0.0026885,0,0.015322,0.00050445,0,-0.0003408,0,0,-0.00054305,0,-8.57E-05,-0.0025906,0,-0.00077308,0,0,0,0,0,0,0,0,0,0,0,0,0.00064331,0.020725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0003878,0,0,0,0,0,0,0,0,0.00039794,0,0,-0.00026479,0,0,0,-0.00034213,0,0,-0.00023508,0,0,0,0,0,0.0018878,0,0,0,0,0,0,0,-0.00080868,0.019031,0.028716,0.022038,0.0022569,0.0068856,0.024346,0.014897,0.0036182,0.026617,0,0.020002,0.028226,0.033371,0,0,0.011383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0013668,0,0,0,0,0,0,0.0086896,0,0.00043413,0,0.012987,0,0,0.0070418,0,0,0,0.030805,0.064883,0.10608,0,0.005664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0042692,-0.0064197,-0.00082821,0,0
CYP2E1,0,0.067198,0,0,0.085009,0,0.068864,0,0,0.049115,0,0.017997,0,0,0.0016415,0,0,0.00016878,0,0,0,0,0.083233,0,0,0.048859,0,0,0,-0.0041286,0,0,-0.0077879,-0.0033073,-0.00090998,-0.018799,0,-0.026395,-0.023868,0,0,-0.013292,-0.00071573,-0.0080239,-0.00015657,-0.0013006,0,-0.0029803,-0.0015121,-0.0007273,-0.0011229,0,0,0,-0.01438,0.0046076,-0.0082816,0.012504,0,0,0,0.034972,0,0,-0.011869,0,0,0,-0.00046306,0,0,0,0,0.086589,0,0.010894,0,0.070107,0,0.0071137,0.0052183,0.056349,-0.00065865,0,0.088352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013979,-0.00687,-0.0030815,0,0.0034442,0,0.036428,0.0097396,0,0.014183,0,0,0,-0.023435,0.00085357,0.013474,-0.02154,0,0.030678,0,0.0091661,-0.0054076,0,0.010723,0,0,0,0,0,0,0,3.10E-05,0,0,0,0,0.0013525,0,0,8.85E-05,0,0.0079055,0,0.0062699,0,0,0.013524,0.0025082,0.044648,0,0.0016627,0,0,0.0086005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016833,0,0,0,0,0.011298,0,-0.001645,0,0,0.021015,0,-0.012614,0.01457,0,0,0.019756,0.00060906,0,0,0.0028066,0.050274,0,0,0.024981,0,0,0,0,0.01531,0,-0.016057,0.058209,0.0037727,-0.052507,0,-0.010236,0,-0.040472,0,0,0.011659,-0.035278,0,0.0029238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013151,-0.0010806,0,0.0094534,0.00025006,0,0,0.0064454,0,0.00087542,0,-0.0064919,0.0073457,0,0.015302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033621,-0.0058982,0,-0.00027896,0,-0.00090341,0,0,0,0,0,0.036743,-0.044039,0.0075798,0,-7.23E-07,0,0,0,0,0,0,-0.01193,0,0,0,0,0,0,0,0,0,0,0,0,0.0070792,0,0,0
CASP8,0,0,0,0,0,0,0,0,0,-0.0010286,0,0,0,0,0,-0.00031744,0,8.63E-05,0,0,0,0,0.0047586,0,0,0,0,0,-0.00018488,-0.0038134,0,0,-0.0081619,-0.0047432,-0.0033831,0,0,-0.008024,-0.010863,0,0,-0.0016848,0,-0.0050588,-0.00024385,-0.001116,-0.0016371,-0.00068833,0,-0.00063772,-0.0026979,0,-0.005476,0,-0.002033,0.0022125,-0.011931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.019168,0,0,0,0,0,0,-5.41E-05,0,0,-5.23E-05,-3.79E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.050518,-0.052006,0,0,0,0.077435,0.10535,0,0,0.014071,0.026054,0.063887,0.012577,0,0,0.0035115,0.074613,0.015646,0.063954,0,-0.0074714,-0.017373,0,0,-0.0040987,0,0.0019198,0,0,0,0,0,0,0,0,0,0.079684,-0.0036918,0,0,0,0.0092749,0,0,0,-0.00184,0,0,0,0,0,0,0,-0.0043966,0,0,-0.0022708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026741,0,0,0,0,-0.0025082,0,0.011572,0,0,0,0,0,3.31E-05,-0.0043991,0.028277,0,-0.00031494,0,-0.001362,0,-0.0041268,0.0027965,0,0,0.034368,0.00013507,0,0,0,0.0096481,0,0,0.06496,0,0,0,0,0.0038842,-0.0026617,0,0,0.0057457,0,0,-0.0067358,0,0,0,-0.022171,0,-0.016281,0.067666,0.076696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0046618,0,0,0,0,0,-0.0027539,-0.019177,-0.0011284,-0.0017397,-0.002809,-0.013621,-0.0009178,0,-0.01248,0,0,-0.0017219,0,-0.073618,-0.071787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0086351,0,-0.022283,-0.00068159,0,-0.0056334,0,0,0,-0.00086164,0,-0.012385,-0.023126,-0.0075461,0,-5.95E-06,-0.015737,0,0.0033226,0,0.0032914,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00083652,0.0054475,0.0049054,0,0.0058989
TJP2,0,-0.028033,0,0,-0.016426,-0.00027235,0,0,0,0,0,-0.010019,0,0,-0.014557,0,0,0,0,0,0,0,-0.020145,-0.00066703,0,-0.0052803,0,0,0.00011356,0.0035947,0,0,0.0013086,0.00025278,0.00024835,0,0,8.05E-06,0,0,0,0,0,0.001076,4.82E-05,0,0.0010945,0.0005337,0,0,0.0012285,0,0,0,0,0,0,0.018577,0,0,0,-0.011743,0,0,0,0,0,0,0,0,0,0,0.043795,0.011393,0,-0.0096516,0,-0.011499,0,0,0.017794,0.038301,0.00022517,0.0028498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045342,0.077148,-0.0033126,0,0,0,0,0.019596,0,0,0,0.082397,0,0,0.0010515,0,0.036774,-0.0025135,0,0.00048375,0.01568,0.048046,0,0,0,0,-5.49E-05,0,0,-5.02E-05,0,-2.50E-05,0,0,0,0,0,0,0,0,0,-9.83E-05,0,0,0,-0.00057486,0.010266,0,0.018099,0,0,0,0,0,0,0,0.0025456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00031436,0,-0.0001445,0,0,0,0,0,1.42E-05,0,0,-0.00010828,-0.00019266,0,-0.00010781,0,0,0,0,-7.43E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040348,0.0071141,0,-0.022359,0.091808,0,0,0,0.069667,0,0,0.017023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.98E-06,0,0,0,0,0,0,0,0,1.33E-06,1.78E-06,0,4.18E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0042731,0,-0.0028962,-0.0035425
SFTPD,0,0.0011194,0,0,0.021279,0,0.0087703,0,0,0,0,0,0,0,-0.016874,-0.00025761,0,0.00010883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0012031,0,0,0,-0.0031556,0,0,0,0,0.0011079,0,0,0,0,0,0,0,0,0,0,-0.0043228,0.00093857,-0.0020476,0,0,0,0,-0.015893,0,0,0,0,0,0,0,0,0,0,0.008038,0,0,-0.0013445,0,-0.00045801,0,0.0034465,0,0,0.00024239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0049237,0,0,0,-0.0013636,0.037425,0.061117,0,0.0065343,0.037128,0.028257,0.055311,0,0.053874,0,0,0.091928,0.04869,0.059366,0.0014955,-0.01414,-0.013474,0,0.016413,0.0045278,0,-0.0046942,0,0,-0.001002,0,1.44E-05,0.014817,0,0.0042994,0,0.0079486,0,0,0,0,0.0096639,0,0,0,-0.0033017,-0.019007,6.37E-05,0.017539,0,0,0,0,0,0,0,-0.0047577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00071637,0,0,0,0,-0.00048434,0,0,0,0,0,0,0,0,0,0.0020125,0,0,0,0.00020266,0,-0.0012617,0.00060154,0,-0.00032375,0.018636,9.40E-05,0,0,0,0.010443,0,0,0.047409,0,0,0,0,0.017313,0.02315,0.01073,0.031558,-0.00066395,0.022348,0.048153,0.014401,0.075806,0.012661,0.094463,0.0062517,0.030343,0.032921,0.011651,0.058319,0.020898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0040572,0,0,0,0,0,0,0.013214,-0.011982,0.0011366,-0.0063779,0.001931,0.0010843,0,0,0.0090274,0,0.00099893,0.025911,0.01003,0.027393,0,-0.0051195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.013877,-0.0012543,0,-0.0021812,0,-0.0058128,0,0,0,-0.00099191,0,-0.012275,0,0,0,0,-0.0047449,0,-0.0083677,-0.0020771,-0.012978,0,-0.027678,0,0,0,0,0,0,0,0,0,0,0,0.00020204,0.0025744,0.0052263,0.004751,0.0039415
COL18A1,0,0,0,0,0,0.00090036,0,0,0,-0.0048787,0,-0.00017285,0,0,-0.015315,-0.00053307,0,0,0,0,0,0,0.017048,0,0,0,0,0,0,-0.00045342,0,0,0,-0.00088113,0,-0.0040357,0,-0.0071413,0,0,0,-0.0019614,0,-0.0024044,0,-0.00061321,0.0010654,0,0,0,-0.0005687,0,-0.013739,0,-0.010902,0,-0.0042009,0.011008,0,0,0,0,0,0,-0.010098,0,0,0,0,0,0,0,-0.011248,0.014866,0,0.0010802,0,0.0031543,0,0.0027532,0.0081048,0.016589,0.00028441,0,0.0146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0042863,0.0020834,0.0028564,0,0,0,-0.0067925,0.00044825,0,0,0,0,0,0.00039454,0.0053006,0,0.0045294,0,0,-7.18E-05,0,0,0.00056601,0,7.18E-05,0,0,0,0,0,0,0,-0.00016976,0,0.00087239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0061098,0,0,0,0,-0.007165,0,0,0,-0.0074998,0,0,0,9.63E-05,0,0.0098639,0.00021512,0,0,0,0,0,0.0030742,0,0,0.0023549,0,0,0,0,0,0,0,0,0,0,0,0,0.016688,0,0,0.012662,0.0037722,-0.0041297,0.014838,0,0.0063424,0.0072126,0.0087547,0,0,0.0054014,0.0098293,0.015377,0.0039779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0036135,0,0,0,0,0,-0.013052,0,0,-0.0009235,-0.0029147,-0.023838,-0.0010854,0,-0.0085101,0.0024957,0,0,0,-0.045279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
