"Finalmethynames","Finalmethy1names","Finalgenenames","Finalsimilarityvalues"
"107","IGFBP6","SPP1","IGFBP6.SPP1",1
"108","IGFBP6","PODXL","IGFBP6.PODXL",1
"109","IGFBP6","MMP7","IGFBP6.MMP7",1
"110","IGFBP6","AXL","IGFBP6.AXL",1
"111","IGFBP6","IRF5","IGFBP6.IRF5",1
"112","IGFBP6","PRKAR1A","IGFBP6.PRKAR1A",1
"113","IGFBP6","PTGS2","IGFBP6.PTGS2",1
"114","IGFBP6","ERCC6","IGFBP6.ERCC6",1
"115","IGFBP6","MAPK12","IGFBP6.MAPK12",1
"116","IGFBP6","ESR2","IGFBP6.ESR2",1
"117","IGFBP6","GFI1","IGFBP6.GFI1",1
"118","IGFBP6","PDE1B","IGFBP6.PDE1B",1
"119","IGFBP6","SEMA3F","IGFBP6.SEMA3F",1
"120","IGFBP6","PGR","IGFBP6.PGR",1
"121","IGFBP6","PLS3","IGFBP6.PLS3",1
"122","IGFBP6","MCM2","IGFBP6.MCM2",1
"123","IGFBP6","IGFBP1","IGFBP6.IGFBP1",1
"124","IGFBP6","TGFB2","IGFBP6.TGFB2",1
"125","IGFBP6","RARRES1","IGFBP6.RARRES1",1
"126","IGFBP6","IL12B","IGFBP6.IL12B",1
"127","IGFBP6","ABCC5","IGFBP6.ABCC5",1
"128","IGFBP6","PAX6","IGFBP6.PAX6",1
"129","IGFBP6","PEG10","IGFBP6.PEG10",1
"130","IGFBP6","ABCG2","IGFBP6.ABCG2",1
"131","IGFBP6","MYH11","IGFBP6.MYH11",1
"132","IGFBP6","CHD2","IGFBP6.CHD2",1
"133","IGFBP6","RAB32","IGFBP6.RAB32",1
"134","IGFBP6","IGFBP7","IGFBP6.IGFBP7",1
"135","IGFBP6","PDGFB","IGFBP6.PDGFB",1
"136","IGFBP6","BMP6","IGFBP6.BMP6",1
"137","IGFBP6","IGFBP2","IGFBP6.IGFBP2",1
"138","IGFBP6","EGFR","IGFBP6.EGFR",1
"139","IGFBP6","MET","IGFBP6.MET",1
"140","IGFBP6","NQO1","IGFBP6.NQO1",1
"141","IGFBP6","DAB2","IGFBP6.DAB2",1
"142","IGFBP6","PSIP1","IGFBP6.PSIP1",1
"143","IGFBP6","GPX3","IGFBP6.GPX3",1
"144","IGFBP6","NRG1","IGFBP6.NRG1",1
"145","IGFBP6","GPX1","IGFBP6.GPX1",1
"146","IGFBP6","IGFBP5","IGFBP6.IGFBP5",1
"147","IGFBP6","THBS1","IGFBP6.THBS1",1
"148","IGFBP6","DKC1","IGFBP6.DKC1",1
